component,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
seed_2,612,IN,train,MJ1,582,2.8918932842287446,2.055508434233949,4.073493406228397,1.0,42.50373096481679,42.50373096481679,1.0,54.55294816801223,54.55294816801223,1.0,65.00384702715485,65.00384702715485
seed_2,612,IN,prediction,ATU1,180,11.461897605696626,8.414817492490753,15.372243196178315,1.0,159.4432843414715,159.4432843414715,1.0,204.64324022796725,204.64324022796725,1.0,243.84746067161694,243.84746067161694
seed_2,612,IN,prediction,ATU5,180,6.658858218054253,5.709348912268562,34.42045677357355,1.0,376.1928150734809,376.1928150734809,1.0,482.838251514201,482.838251514201,1.0,575.3372621333755,575.3372621333755
seed_2,612,IN,prediction,MJ3,180,64.99506281073327,55.33098246074583,49.685795846746984,0.1111111111111111,27.412577027839912,449.3738179884859,0.17777777777777778,35.18366175875894,812.4824111134787,0.2388888888888889,41.92391875463385,1489.739271439532
seed_2,612,IN,prediction,MJ1,180,19.486093328889908,15.821510950880555,11.377138152052868,0.5888888888888889,42.50373096481679,72.05001399497323,0.7333333333333333,54.552948168012236,70.03238368088302,0.9833333333333333,65.00384702715486,65.43293368727727
seed_0,612,OOF,train,ATU1,582,7.942986487642696,6.237060091176708,14.826597675242212,1.0,158.1584285873737,158.1584285873737,1.0,202.9941457187187,202.9941457187187,1.0,241.88244336618425,241.88244336618425
seed_0,612,OOF,train,ATU5,582,7.709258115078465,5.655613098756332,32.555547015140085,1.0,355.18625913365616,355.18625913365616,1.0,455.87662881989445,455.87662881989445,1.0,543.2105071901437,543.2105071901437
seed_0,612,OOF,train,MJ3,582,7.9061208148373225,6.33544208639792,5.551516337801593,1.0,46.38121682567334,46.38121682567334,1.0,59.52964739859529,59.52964739859529,1.0,70.93394991524512,70.93394991524512
seed_0,612,OOF,train,MJ1,582,8.334889902545255,6.786695205132629,6.266613350928643,1.0,54.99097041198285,54.99097041198285,1.0,70.5801465070632,70.5801465070632,1.0,84.10143174241023,84.10143174241023
seed_0,612,OOF,prediction,ATU1,180,25.16465672686502,17.085981711833465,18.26140433955066,0.9944444444444445,158.15842858737372,158.16408751447938,1.0,202.9941457187188,202.9941457187188,1.0,241.88244336618422,241.88244336618422
seed_0,612,OOF,prediction,ATU5,180,12.952111854174243,9.3113817350979,32.8660344789359,1.0,355.1862591336562,355.1862591336562,1.0,455.8766288198946,455.8766288198946,1.0,543.2105071901436,543.2105071901436
seed_0,612,OOF,prediction,MJ3,180,59.827840798554476,48.43766257305977,40.885931330210475,0.37222222222222223,46.38121682567293,343.9787378469433,0.4,59.52964739859522,573.667154182483,0.43333333333333335,70.93394991524497,966.654814769383
seed_0,612,OOF,prediction,MJ1,180,17.164920418811835,14.294402541951978,9.988347471098416,0.8777777777777778,54.990970411982886,56.29565303676827,1.0,70.58014650706322,70.58014650706322,1.0,84.10143174241024,84.10143174241024
seed_1,612,OOF,train,ATU1,582,8.11724772146713,6.4831019522835405,14.896067929097063,1.0,158.74097972748478,158.74097972748478,1.0,203.74184201338056,203.74184201338056,1.0,242.7733784520623,242.7733784520623
seed_1,612,OOF,train,ATU5,582,8.096595974188235,6.107528973374718,33.529788030653684,1.0,365.7377989933829,365.7377989933829,1.0,469.41938363209835,469.41938363209835,1.0,559.3476948528073,559.3476948528073
seed_1,612,OOF,train,MJ3,582,8.030509664301558,5.949898097292819,5.305985038146903,1.0,41.92935913454964,41.92935913454964,1.0,53.815749903895224,53.815749903895224,1.0,64.12542111620787,64.12542111620787
seed_1,612,OOF,train,MJ1,582,7.257766315447695,5.50522988434913,6.099073143472476,1.0,56.753890214449804,56.753890214449804,1.0,72.84282958041409,72.84282958041409,1.0,86.79758491671814,86.79758491671814
seed_1,612,OOF,prediction,ATU1,180,58.633547805234635,40.36091453042918,32.64393309293627,0.7833333333333333,158.74097972748487,226.4187653160332,0.85,203.74184201338042,253.82924990707437,0.9333333333333333,242.77337845206242,258.3065618068038
seed_1,612,OOF,prediction,ATU5,180,38.150696638381824,23.47067944832685,37.30035588683986,1.0,365.7377989933829,365.7377989933829,1.0,469.4193836320983,469.4193836320983,1.0,559.3476948528073,559.3476948528073
seed_1,612,OOF,prediction,MJ3,180,67.12895680246874,54.336579609814564,47.379096367431806,0.3111111111111111,41.92935913454972,415.0933119160283,0.3888888888888889,53.81574990389503,724.1359464065381,0.40555555555555556,64.12542111620745,1280.718220477302
seed_1,612,OOF,prediction,MJ1,180,20.3103472835548,15.869521862874857,11.660276850610646,0.7444444444444445,56.75389021444971,67.81654571598393,0.9888888888888889,72.84282958041399,73.3262134443051,1.0,86.7975849167181,86.7975849167181
seed_2,612,OOF,train,ATU1,582,7.620420577105062,6.239197106196574,13.793726571426683,1.0,146.86861590232803,146.86861590232803,1.0,188.50382799240703,188.50382799240703,1.0,224.61616485168324,224.61616485168324
seed_2,612,OOF,train,ATU5,582,9.364834164535512,7.159218314550721,32.943207268958695,1.0,358.57390485690934,358.57390485690934,1.0,460.2246250394547,460.2246250394547,1.0,548.3914642350403,548.3914642350403
seed_2,612,OOF,train,MJ3,582,7.934784815407461,6.49640004290986,5.346530001653522,0.9914089347079038,43.078405374572604,43.20059094830672,1.0,55.29053478869817,55.29053478869817,1.0,65.88273569349626,65.88273569349626
seed_2,612,OOF,train,MJ1,582,8.543631212578306,6.772776748012305,6.06524137609048,1.0,51.04599929412473,51.04599929412473,1.0,65.51683088672564,65.51683088672564,1.0,78.0681190601889,78.0681190601889
seed_2,612,OOF,prediction,ATU1,180,22.543722777011755,17.221894475190933,16.775838454062896,1.0,146.86861590232814,146.86861590232814,1.0,188.5038279924069,188.5038279924069,1.0,224.6161648516831,224.6161648516831
seed_2,612,OOF,prediction,ATU5,180,15.834811987854952,10.60074757026674,33.40495556952175,1.0,358.57390485690934,358.57390485690934,1.0,460.22462503945474,460.22462503945474,1.0,548.3914642350402,548.3914642350402
seed_2,612,OOF,prediction,MJ3,180,61.56160832998415,49.030825818048136,42.300898328307305,0.4,43.07840537457218,366.73888999473905,0.4166666666666667,55.290534788697876,630.6430171201931,0.4222222222222222,65.88273569349644,1093.5836597669065
seed_2,612,OOF,prediction,MJ1,180,18.98434486663609,16.358609525992026,11.020082228522487,0.7944444444444444,51.04599929412483,60.996572464503124,0.9611111111111111,65.51683088672576,65.97491359416671,1.0,78.0681190601888,78.0681190601888
