arm,reference,part,station,metric,reference_value,candidate_value,difference,relative_difference
TIME_ONLY,BPLUS_GP_V1,train,ATU5,width_80_mm,0.06016756142106046,0.06017945570719882,1.189428613836141e-05,0.0001976860264474347
TIME_ONLY,BPLUS_GP_V1,train,ATU5,interval_score_80_mm,0.06016756142106046,0.06017945570719882,1.189428613836141e-05,0.0001976860264474347
TIME_ONLY,BPLUS_GP_V1,train,ATU5,coverage_90,1.0,1.0,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,ATU5,width_90_mm,0.07722422934598348,0.07723949629601815,1.526695003466194e-05,0.00019769637280887923
TIME_ONLY,BPLUS_GP_V1,train,ATU5,interval_score_90_mm,0.07722422934598348,0.07723949629601815,1.526695003466194e-05,0.00019769637280887923
TIME_ONLY,BPLUS_GP_V1,train,ATU5,coverage_95,1.0,1.0,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,ATU5,width_95_mm,0.09201834472486262,0.0920365363508297,1.8191625967084457e-05,0.0001976956445095586
TIME_ONLY,BPLUS_GP_V1,train,ATU5,interval_score_95_mm,0.09201834472486262,0.0920365363508297,1.8191625967084457e-05,0.0001976956445095586
TIME_ONLY,BPLUS_GP_V1,train,MJ3,mae_mm,0.0008766680925287178,0.0009696195787888772,9.295148626015939e-05,0.10602813887299599
TIME_ONLY,BPLUS_GP_V1,train,MJ3,rmse_mm,0.0038240940094523956,0.004301416791700173,0.0004773227822477775,0.12481983472893998
TIME_ONLY,BPLUS_GP_V1,train,MJ3,crps_mm,0.004465473966022389,0.004513650313199896,4.817634717750683e-05,0.01078863017544805
TIME_ONLY,BPLUS_GP_V1,train,MJ3,coverage_80,0.9973753280839895,0.994750656167979,-0.002624671916010568,-0.0026315789473684904
TIME_ONLY,BPLUS_GP_V1,train,MJ3,width_80_mm,0.04674958242119099,0.04655634858823614,-0.00019323383295485191,-0.00413338094047363
TIME_ONLY,BPLUS_GP_V1,train,MJ3,interval_score_80_mm,0.04764555365424379,0.04783611613722584,0.00019056248298204848,0.003999585866184495
TIME_ONLY,BPLUS_GP_V1,train,MJ3,coverage_90,0.9973753280839895,0.9960629921259843,-0.001312335958005284,-0.0013157894736842452
TIME_ONLY,BPLUS_GP_V1,train,MJ3,width_90_mm,0.060002439677665574,0.05975442735550205,-0.00024801232216352387,-0.004133370634525055
TIME_ONLY,BPLUS_GP_V1,train,MJ3,interval_score_90_mm,0.06143761683492281,0.06164259159277178,0.00020497475784896774,0.0033363071096933323
TIME_ONLY,BPLUS_GP_V1,train,MJ3,coverage_95,0.9986876640419947,0.9960629921259843,-0.002624671916010457,-0.0026281208935610622
TIME_ONLY,BPLUS_GP_V1,train,MJ3,width_95_mm,0.07149731664993711,0.07120179168827966,-0.00029552496165745346,-0.004133371369787113
TIME_ONLY,BPLUS_GP_V1,train,MJ3,interval_score_95_mm,0.07389588514114695,0.07407702318903166,0.00018113804788470744,0.0024512602770603467
TIME_ONLY,BPLUS_GP_V1,train,MJ1,mae_mm,0.0007143018613670616,0.0009079828784589808,0.00019368101709191915,0.2711472943962992
TIME_ONLY,BPLUS_GP_V1,train,MJ1,rmse_mm,0.0017813589804036153,0.0021786265226440473,0.000397267542240432,0.22301374771210924
TIME_ONLY,BPLUS_GP_V1,train,MJ1,crps_mm,0.0025029109488833245,0.0025520316485425007,4.9120699659176235e-05,0.019625428416097452
TIME_ONLY,BPLUS_GP_V1,train,MJ1,coverage_80,0.9973753280839895,0.9973753280839895,0.0,0.0
TIME_ONLY,BPLUS_GP_V1,train,MJ1,width_80_mm,0.02636779031368243,0.026263658471841485,-0.00010413184184094454,-0.00394920623238231
