phase,source_family,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,comparison_status
development,c16_fast_feedback_run3,DRIFT30,4,373,0.140439744599,0.185738037694,0.212038235805,0.945710455764,2.00545074614,2.06635524222,0.967828418231,2.57396816652,2.63815686276,0.97855227882,3.06707224343,3.13507269208,0.187988854072,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT30,5,372,0.179515799761,0.237611543581,0.2731518526,0.944220430108,2.58662836197,2.66688380204,0.967069892473,3.31990156085,3.40640709907,0.977822580645,3.95590670493,4.05012818819,0.240455518666,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT30,6,371,0.220061694127,0.291487911862,0.337499818819,0.946091644205,3.19886487907,3.30161574568,0.965633423181,4.10569862339,4.22101746122,0.977088948787,4.89224165687,5.02511784209,0.294930776065,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT30,7,370,0.261952820736,0.347279212605,0.404785363395,0.94527027027,3.84183319315,3.96582555409,0.964864864865,4.93093952034,5.07081097832,0.977027027027,5.87557683641,6.03711188366,0.351323375648,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT7,1,376,0.00975291238909,0.0127879595788,0.0146336941827,0.95079787234,0.138983200142,0.142810336789,0.970744680851,0.178383006182,0.182200553495,0.981382978723,0.212556462072,0.216158588721,0.0130166250423,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT7,2,375,0.0219063037599,0.0287209598672,0.0331309203863,0.952,0.315074063958,0.323916447635,0.969333333333,0.40439318307,0.413545124034,0.981333333333,0.481864198385,0.490786455549,0.0292349748613,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT7,3,374,0.0364288882506,0.0477601322968,0.0555335291404,0.949197860963,0.52858467407,0.543959885249,0.968582887701,0.678431084375,0.695059076994,0.979278074866,0.808400498124,0.825612106915,0.0486152116148,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT7,4,373,0.053293041317,0.0698594894575,0.0818841666926,0.951072386059,0.780410209013,0.803651413137,0.967828418231,1.00164565931,1.02741416939,0.97855227882,1.19353441871,1.22105598388,0.0711100800493,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT7,5,372,0.0724385194646,0.0949663967192,0.112219853685,0.949596774194,1.07047483895,1.10346092105,0.967069892473,1.37393958132,1.41203512531,0.977822580645,1.63714998842,1.68052289111,0.0966653952865,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT7,6,371,0.0938223723676,0.123022119719,0.146522710794,0.948787061995,1.39881119291,1.44312982059,0.966307277628,1.79535472933,1.84774896622,0.97641509434,2.13929710906,2.20092286013,0.125220610185,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT7,7,370,0.117411620791,0.153962573376,0.184830619346,0.948648648649,1.76670751969,1.82355700017,0.965540540541,2.26754455275,2.33555071893,0.976351351351,2.70194598711,2.78306919466,0.156709577962,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,EXPERT_INIT,1,376,0.0178496295823,0.0234492117814,0.0265031211364,0.950132978723,0.251157917366,0.25807594411,0.970744680851,0.322357697048,0.329027715753,0.981382978723,0.384112887616,0.390045725545,0.0238420953249,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,EXPERT_INIT,2,375,0.0379601001,0.0498531829912,0.0568214113319,0.950666666667,0.539311855831,0.554357660801,0.969333333333,0.692199273108,0.707406623359,0.980666666667,0.824806306888,0.839223700055,0.0506850262984,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,EXPERT_INIT,3,374,0.0602778390652,0.0791530171391,0.0909741011819,0.950534759358,0.864540208787,0.889496110909,0.968582887701,1.10962534501,1.1360631483,0.979946524064,1.32220015017,1.34892729161,0.0804685497708,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,EXPERT_INIT,4,373,0.0847317883433,0.111285457322,0.128975229665,0.951072386059,1.22675525157,1.2637616441,0.967828418231,1.57452331936,1.61576672062,0.977882037534,1.87616025415,1.92088949032,0.113127528709,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,EXPERT_INIT,5,372,0.111296603035,0.146183061259,0.170789877646,0.950940860215,1.62671193125,1.67657604253,0.967069892473,2.08786216026,2.14443436466,0.977822580645,2.48784121076,2.55121857024,0.148592253925,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,EXPERT_INIT,6,371,0.139903168103,0.183774496932,0.216481537594,0.950134770889,2.06422425065,2.1291804967,0.965633423181,2.64940314289,2.72519271739,0.977762803235,3.15695856185,3.24465597715,0.186788846888,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,EXPERT_INIT,7,370,0.170468747866,0.223984162922,0.265937509353,0.949324324324,2.53892150973,2.62011140404,0.964864864865,3.2586704789,3.3545558658,0.977027027027,3.88294537062,3.99575193716,0.227638841685,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,PERSIST,1,376,0.11191361618,0.13039899661,0.102623631929,0.875,0.792810002002,0.832691184331,0.995345744681,1.01756062131,1.01763289412,1,1.21249826561,1.21249826561,0.132695121018,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,PERSIST,2,375,0.223924381978,0.260886623898,0.206466378861,0.875333333333,1.60062954098,1.67948413064,0.994666666667,2.05438577476,2.05483154091,1,2.4479516371,2.4479516371,0.265477976842,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,PERSIST,3,374,0.336038612726,0.391443334937,0.311215408363,0.880347593583,2.42602868477,2.53328638076,0.993315508021,3.11377410673,3.11463327997,1,3.71029069407,3.71029069407,0.39833192078,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,PERSIST,4,373,0.448255801652,0.522049388895,0.417142083401,0.881367292225,3.26570560036,3.40028112598,0.991957104558,4.1914877604,4.19271322593,1,4.99446571866,4.99446571866,0.531240067321,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,PERSIST,5,372,0.560584985878,0.652684889154,0.523785784526,0.881720430108,4.11122216862,4.27505259259,0.993279569892,5.27669652713,5.27810581111,1,6.28757172132,6.28757172132,0.664185306932,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,PERSIST,6,371,0.673025117084,0.783329910649,0.631633989388,0.883423180593,4.97887731743,5.16051834144,0.992587601078,6.39031985438,6.39203600805,1,7.61453576115,7.61453576115,0.797150419013,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,PERSIST,7,370,0.785587469392,0.913964617766,0.740737757942,0.882432432432,5.85336257172,6.06613216238,0.993243243243,7.51270952711,7.51472401905,1,8.9519455459,8.9519455459,0.930118176603,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C16_FAST_PHYS,1,376,4.0987699252e-05,8.3672608773e-05,0.00236751795025,1,0.0259630899202,0.0259630899202,1,0.0333232651501,0.0333232651501,1,0.0397071195098,0.0397071195098,8.6543832885e-05,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C16_FAST_PHYS,2,375,0.00018985917416,0.00036397171041,0.00254815336934,1,0.0278918866268,0.0278918866268,1,0.0357988489221,0.0357988489221,1,0.0426569595163,0.0426569595163,0.000376398603883,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,C16_FAST_PHYS,3,374,0.000529914272521,0.000959249479262,0.00297397596873,1,0.0322829425362,0.0322829425362,1,0.0414347081671,0.0414347081671,1,0.0493725000126,0.0493725000126,0.000991520358712,historical_native_scale_not_main_ranking
