Date,MJ9/mm,MJ1/mm,MJ3/mm,ATU4/mm,ATU5/mm,ATU3/mm,ATU2/mm,ATU1/mm,Rainfall/mm,GWT/m,RWL/m,aveT/℃,minT/℃,maxT/℃,DP,RH
2017-08-26,304.75145,823.4552687551235,1128.822520030103,117.46205,233.1980717805653,228.15403,130.99295,163.5040883957568,80.0,271.7065785979251,148.77,30.72222222222222,24.72222222222222,36.27777777777778,21.05555555555556,0.5643458633370911
2017-08-27,304.90371,824.0537169386556,1129.934597598409,117.83761,235.4851332338816,228.98282,131.47249,165.6971753503995,95.5,271.7205011827559,149.55,30.88888888888889,25.77777777777778,36.22222222222222,21.55555555555556,0.576401231032963
2017-08-28,305.05597,824.6581577505472,1131.059075946964,118.28164,238.0303081031223,229.89129,132.02365,168.2263235079769,95.5,271.7545024138943,151.3,30.33333333333333,25.38888888888889,34.38888888888889,21.38888888888889,0.5889394675536936
2017-08-29,305.20823,825.268732160046,1132.196571885251,118.80094,240.8477143013209,230.88729,132.65356,171.1099964601074,95.5,271.8097961012641,152.04,27.88888888888889,25.5,30.22222222222222,20.72222222222222,0.6510170048110947
2017-08-30,305.36048,825.8855811364002,1133.347702222753,119.40233,243.9514697415111,231.97867,133.36934,174.3666577984092,194.5,271.8875960547891,152.2,27.11111111111111,25.38888888888889,30.38888888888889,20.83333333333333,0.6859663916702401
2017-08-31,305.51274,826.5088456488577,1134.513083768953,120.09261,247.3556923367262,233.17326,134.17811,178.0147711145007,284.5,271.9891160843932,152.07,23.88888888888889,21.72222222222222,26.88888888888889,20.33333333333333,0.8053054310861295
2017-09-01,305.665,827.1386666666665,1135.693333333333,120.8786,251.0745,234.4789,135.087,182.0728,0.0,272.11557,152.27,23.55555555555556,20.61111111111111,26.27777777777778,19.83333333333333,0.7965903745619588
2017-09-02,305.82067,827.7749802227908,1136.888588694867,122.01647,255.1160336393588,236.37896,136.42661,186.5513463790898,0.0,272.2676573118416,151.91,21.11111111111111,20.5,24.27777777777778,20.27777777777778,0.9499872886986479
2017-09-03,305.9827,828.4169026050603,1138.09707151049,123.72957,259.4645261428005,239.30165,138.48734,191.4295655062093,0.0,272.444020331382,152.35,21.22222222222222,20.61111111111111,21.61111111111111,20.38888888888889,0.9500292451771268
2017-09-04,306.15043,829.0633451650209,1139.316524406629,125.97547,264.0982333933163,243.17211,141.21598,196.6787509683622,0.0,272.6427870703938,152.59,24.38888888888889,20.77777777777778,26.88888888888889,20.66666666666667,0.7977514443675454
2017-09-05,306.32319,829.7132192542184,1140.544690009711,128.71171,268.9954112738969,247.91548,144.55934,202.2701963525518,0.0,272.8620855406493,152.64,23.27777777777778,20.61111111111111,27.38888888888889,21.05555555555556,0.8734785423584825
2017-09-06,306.50031,830.3654362241988,1141.779310946162,131.89585,274.1343156675333,253.45689,148.46422,208.1751952457818,0.0,273.1000437539207,152.55,22.61111111111111,20.5,25.0,20.38888888888889,0.8728692170835791
2017-09-07,306.68112,831.0189074265081,1143.018129842409,135.48545,279.4932024572163,259.7215,152.87741,214.3650412350557,0.0,273.3547897219805,152.52,26.38888888888889,21.22222222222222,33.11111111111111,18.77777777777778,0.6300779285377569
2017-09-08,306.86495,831.6725442126922,1144.258889324878,139.43806,285.050327525937,266.63442,157.74571,220.811027907377,22.5,273.6244514566009,153.04,26.77777777777778,21.77777777777778,30.72222222222222,21.22222222222222,0.7164247663193579
2017-09-09,307.05113,832.325257934297,1145.499332019995,143.71125,290.7839467566861,274.1208,163.01593,227.4844488497493,38.0,273.9071569695543,153.74,25.05555555555555,22.5,28.77777777777778,22.55555555555555,0.860469619814855
2017-09-10,307.23898,832.9759599428685,1146.737200554188,148.26256,296.6723160324547,282.10578,168.63486,234.3565976491762,40.5,274.201034272613,155.46,22.05555555555556,20.22222222222222,24.27777777777778,20.38888888888889,0.9028529376481749
2017-09-11,307.42784,833.6235615899526,1147.970237553882,153.04956,302.6936912362337,290.51449,174.54929,241.3987678926611,41.0,274.5042113775495,157.74,24.61111111111111,20.11111111111111,31.72222222222222,17.72222222222222,0.6553009048109509
2017-09-12,307.61704,834.266974227095,1149.196185645505,158.02981,308.826328251014,299.27208,180.70603,248.5822531672076,41.5,274.814816296136,159.8,25.44444444444444,19.5,31.61111111111111,18.11111111111111,0.6390201568373108
2017-09-13,307.80591,834.905109205842,1150.412787455483,163.16085,315.0484829597864,308.30367,187.05188,255.8783470598191,45.5,275.1309770401448,161.36,26.11111111111111,21.22222222222222,31.5,17.44444444444444,0.5890271316689613
2017-09-14,307.99378,835.5368778777394,1151.617785610242,168.40024,321.338411245542,317.53442,193.53364,263.2583431574994,55.0,275.4508216213484,162.32,26.5,20.77777777777778,31.72222222222222,18.11111111111111,0.6003584930972752
2017-09-15,308.17997,836.1611915943328,1152.808922736209,173.70555,327.6743689912715,326.88944,200.09809,270.6935350472519,55.0,275.772478051519,163.06,26.16666666666666,22.0,31.61111111111111,18.66666666666666,0.6339721861932984
2017-09-16,308.36383,836.7769617071685,1153.98394145981,179.03433,334.0346120799661,336.29389,206.69205,278.1552163160802,57.0,276.0940743424291,163.43,26.5,21.77777777777778,32.22222222222222,20.44444444444444,0.6942131532758462
